Campaign_ID,Campaign_Name,Campaign_Type,Platform,Campaign_Start_Date,Campaign_End_Date,Region,Audience_Segment,Impressions,Clicks,CTR_%,Leads_Generated,Conversions,Conversion_Rate_%,Marketing_Spend,Revenue_Generated,ROI_%,CPC,CPM,CAC
C037,Campaign_37,Awareness,YouTube,23-05-2025,04-07-2025,West,Young Adults,43198,3378,7.82,575,330,9.77,116773,326373,179.4935473,34.57,2703.20,353.86
C038,Campaign_38,Acquisition,Email,14-05-2025,03-06-2025,North,Students,177198,13803,7.79,2315,898,6.51,125918,259455,106.0507632,9.12,710.61,140.22
C039,Campaign_39,Retention,Instagram,23-10-2025,13-11-2025,North,Existing Customers,91773,2514,2.74,499,265,10.54,153151,430520,181.1081873,60.92,1668.80,577.93
C040,Campaign_40,Upsell,YouTube,09-08-2025,26-08-2025,South,Young Adults,199125,15053,7.56,3494,2034,13.51,44669,128801,188.3453849,2.97,224.33,21.96
C041,Campaign_41,Launch,Instagram,17-06-2025,14-07-2025,East,Existing Customers,207769,8580,4.13,1226,609,7.10,111390,310789,179.0097854,12.98,536.12,182.91
C042,Campaign_42,Launch,Facebook,08-10-2025,18-11-2025,East,Existing Customers,25106,1046,4.17,165,103,9.85,171032,468687,174.0346836,163.51,6812.40,1660.50
C043,Campaign_43,Retention,LinkedIn,19-09-2025,19-10-2025,West,Professionals,233072,17387,7.46,4577,1873,10.77,34228,65865,92.43017413,1.97,146.86,18.27
C044,Campaign_44,Upsell,YouTube,01-05-2025,06-06-2025,East,Students,106374,3978,3.74,619,221,5.56,76184,263951,246.465137,19.15,716.19,344.72
C045,Campaign_45,Discount,Email,19-11-2025,22-12-2025,West,Existing Customers,75970,4900,6.45,926,453,9.24,50684,139042,174.3311499,10.34,667.16,111.89
C046,Campaign_46,Discount,Google,01-04-2025,11-05-2025,West,Professionals,207429,11097,5.35,1431,625,5.63,43813,100954,130.4201949,3.95,211.22,70.10
C047,Campaign_47,Upsell,LinkedIn,10-11-2025,21-12-2025,East,Existing Customers,213553,15824,7.41,3114,2078,13.13,128893,421977,227.3855058,8.15,603.56,62.03
C048,Campaign_48,Retention,YouTube,07-05-2025,17-06-2025,West,Young Adults,192159,7744,4.03,2013,1045,13.49,74716,142267,90.41035387,9.65,388.82,71.50
C049,Campaign_49,Upsell,Google,20-05-2025,14-06-2025,East,Professionals,108809,8062,7.41,1084,436,5.41,112410,317748,182.6688017,13.94,1033.09,257.82
C050,Campaign_50,Awareness,YouTube,28-07-2025,22-08-2025,North,Existing Customers,167242,8462,5.06,1110,712,8.41,114099,375459,229.0642337,13.48,682.24,160.25
C051,Campaign_51,Upsell,Email,14-07-2025,13-08-2025,North,Business Owners,26545,2041,7.69,354,172,8.43,121843,302668,148.4081974,59.70,4590.05,708.39
C052,Campaign_52,Launch,YouTube,23-04-2025,16-05-2025,South,Existing Customers,139251,7199,5.17,1367,798,11.08,117989,341365,189.3193433,16.39,847.31,147.86
C053,Campaign_53,Awareness,LinkedIn,31-10-2025,03-12-2025,North,Existing Customers,198801,5268,2.65,1241,493,9.36,133031,226126,69.97992949,25.25,669.17,269.84
C054,Campaign_54,Retention,Instagram,21-08-2025,15-09-2025,East,Professionals,113473,7591,6.69,1428,875,11.53,122510,227255,85.49914293,16.14,1079.64,140.01
C055,Campaign_55,Retention,Google,27-01-2025,13-03-2025,North,Business Owners,116740,4354,3.73,576,394,9.05,22553,66741,195.9295881,5.18,193.19,57.24
C056,Campaign_56,Awareness,Facebook,20-03-2025,11-04-2025,North,Business Owners,58088,2962,5.10,416,283,9.55,133905,380132,183.8818565,45.21,2305.21,473.16
C057,Campaign_57,Awareness,Instagram,09-06-2025,27-06-2025,North,Professionals,176698,4664,2.64,821,481,10.31,110384,239824,117.2633715,23.67,624.70,229.49
C058,Campaign_58,Awareness,YouTube,18-11-2025,10-12-2025,North,Business Owners,51712,3273,6.33,570,336,10.27,43733,133459,205.1677223,13.36,845.70,130.16
C059,Campaign_59,Discount,Email,08-08-2025,13-09-2025,East,Business Owners,122142,3517,2.88,831,294,8.36,122115,379671,210.9126643,34.72,999.78,415.36
C060,Campaign_60,Retention,Google,20-03-2025,17-04-2025,East,Existing Customers,71173,4654,6.54,1367,607,13.04,153078,459878,200.4207006,32.89,2150.79,252.19
C061,Campaign_61,Retention,LinkedIn,06-05-2025,16-06-2025,East,Young Adults,47718,1923,4.03,386,236,12.27,161382,426489,164.2729672,83.92,3381.99,683.82
C062,Campaign_62,Acquisition,LinkedIn,16-06-2025,06-07-2025,North,Existing Customers,152808,5608,3.67,1478,693,12.36,168278,478347,184.2599746,30.01,1101.24,242.83
C063,Campaign_63,Launch,Instagram,08-04-2025,25-04-2025,North,Business Owners,88270,5702,6.46,1185,729,12.78,136804,372241,172.0980381,23.99,1549.84,187.66
C064,Campaign_64,Retention,LinkedIn,31-05-2025,22-06-2025,North,Students,131011,8253,6.30,1445,799,9.68,136062,342555,151.7639018,16.49,1038.55,170.29
C065,Campaign_65,Retention,Instagram,21-08-2025,13-09-2025,East,Young Adults,105379,4088,3.88,579,241,5.90,43340,127174,193.433318,10.60,411.28,179.83
C066,Campaign_66,Awareness,YouTube,05-09-2025,28-09-2025,South,Professionals,214945,12337,5.74,3168,1770,14.35,38352,120110,213.1779307,3.11,178.43,21.67
C067,Campaign_67,Awareness,Instagram,04-06-2025,19-06-2025,East,Professionals,210602,11456,5.44,1940,1340,11.70,157059,305118,94.26966936,13.71,745.76,117.21
C068,Campaign_68,Upsell,Facebook,07-01-2025,09-02-2025,West,Students,99537,5056,5.08,1007,417,8.25,25468,47254,85.54264175,5.04,255.86,61.07
C069,Campaign_69,Discount,LinkedIn,09-09-2025,26-09-2025,North,Existing Customers,176262,10505,5.96,1361,547,5.21,159545,540550,238.8072331,15.19,905.16,291.67
C070,Campaign_70,Awareness,Google,02-08-2025,05-09-2025,North,Business Owners,181271,12417,6.85,1994,1062,8.55,130099,429158,229.8703295,10.48,717.70,122.50
C071,Campaign_71,Launch,Instagram,19-10-2025,22-11-2025,West,Young Adults,40789,2386,5.85,604,411,17.23,66470,177882,167.6124567,27.86,1629.61,161.73
C072,Campaign_72,Upsell,Instagram,03-05-2025,23-05-2025,North,Professionals,169701,4938,2.91,594,301,6.10,167664,391295,133.3804514,33.95,988.00,557.02
C073,Campaign_73,Awareness,Google,21-08-2025,07-09-2025,East,Young Adults,205193,7756,3.78,1300,815,10.51,166609,458941,175.4599091,21.48,811.96,204.43
C074,Campaign_74,Retention,Facebook,26-04-2025,31-05-2025,North,Business Owners,64056,4804,7.50,1291,484,10.07,55495,168914,204.3769709,11.55,866.35,114.66
C075,Campaign_75,Upsell,Email,05-03-2025,03-04-2025,East,Existing Customers,205532,8570,4.17,1649,734,8.56,153552,366428,138.6344691,17.92,747.10,209.20
C076,Campaign_76,Launch,Google,15-06-2025,19-07-2025,North,Existing Customers,90632,2392,2.64,385,225,9.41,162784,421882,159.1667486,68.05,1796.10,723.48
C077,Campaign_77,Upsell,Google,21-01-2025,01-03-2025,East,Business Owners,223251,7724,3.46,1648,831,10.76,84917,144297,69.92710529,10.99,380.37,102.19
C078,Campaign_78,Retention,Email,29-08-2025,24-09-2025,West,Students,132046,5717,4.33,1375,894,15.64,98456,217156,120.5614691,17.22,745.62,110.13
C079,Campaign_79,Acquisition,LinkedIn,19-01-2025,17-02-2025,West,Business Owners,48084,2033,4.23,362,249,12.25,117952,377777,220.2802835,58.02,2453.04,473.70
C080,Campaign_80,Upsell,Google,28-01-2025,18-02-2025,West,Existing Customers,160905,7224,4.49,1850,1052,14.56,25529,44620,74.7816209,3.53,158.66,24.27
C081,Campaign_81,Awareness,Email,06-09-2025,24-09-2025,East,Existing Customers,32567,2556,7.85,586,254,9.94,53517,106159,98.36500551,20.94,1643.29,210.70
C082,Campaign_82,Launch,Google,26-04-2025,06-06-2025,West,Students,54743,2759,5.04,389,249,9.03,142646,478126,235.1836014,51.70,2605.74,572.88
C083,Campaign_83,Launch,Instagram,05-09-2025,05-10-2025,East,Existing Customers,88892,4453,5.01,650,270,6.06,169123,408961,141.8127635,37.98,1902.57,626.38
C084,Campaign_84,Discount,Facebook,24-06-2025,07-08-2025,East,Existing Customers,231495,12246,5.29,3278,1471,12.01,90264,283649,214.2437738,7.37,389.92,61.36
C085,Campaign_85,Upsell,Email,17-08-2025,18-09-2025,West,Professionals,151967,6686,4.40,1466,791,11.83,131365,440371,235.2270392,19.65,864.43,166.07
C086,Campaign_86,Upsell,Facebook,16-07-2025,07-08-2025,South,Business Owners,249398,16884,6.77,2158,1317,7.80,111937,240594,114.9369735,6.63,448.83,84.99
C087,Campaign_87,Upsell,YouTube,19-01-2025,07-02-2025,South,Existing Customers,156672,12236,7.81,2199,846,6.91,127423,193602,51.93646359,10.41,813.31,150.62
C088,Campaign_88,Discount,LinkedIn,21-03-2025,07-04-2025,South,Existing Customers,148074,10069,6.80,1688,959,9.52,116197,317176,172.964018,11.54,784.72,121.16
C089,Campaign_89,Upsell,Instagram,17-11-2025,24-12-2025,West,Young Adults,224072,11606,5.18,2522,1427,12.30,73543,197724,168.8549556,6.34,328.21,51.54
C090,Campaign_90,Awareness,Instagram,20-02-2025,31-03-2025,North,Existing Customers,191133,12175,6.37,1681,686,5.63,90503,297531,228.752638,7.43,473.51,131.93
C091,Campaign_91,Acquisition,Google,03-07-2025,29-07-2025,North,Young Adults,137901,4550,3.30,981,537,11.80,59200,99098,67.39527027,13.01,429.29,110.24
C092,Campaign_92,Launch,Google,04-05-2025,03-06-2025,West,Business Owners,177871,5851,3.29,1187,520,8.89,78932,218408,176.7039984,13.49,443.76,151.79
C093,Campaign_93,Acquisition,LinkedIn,15-08-2025,29-09-2025,South,Students,115587,9166,7.93,1593,1093,11.92,77561,178781,130.5037325,8.46,671.02,70.96
C094,Campaign_94,Awareness,Instagram,24-02-2025,18-03-2025,West,Existing Customers,124972,7060,5.65,1577,1099,15.57,89392,120524,34.82638267,12.66,715.30,81.34
C095,Campaign_95,Retention,YouTube,17-10-2025,28-11-2025,East,Students,204778,13883,6.78,4098,2740,19.74,142214,445449,213.2244364,10.24,694.48,51.90
C096,Campaign_96,Awareness,Instagram,22-11-2025,13-12-2025,East,Professionals,187762,7285,3.88,1864,1153,15.83,47855,128354,168.2143977,6.57,254.87,41.50
C097,Campaign_97,Upsell,YouTube,14-08-2025,30-08-2025,North,Young Adults,176931,7979,4.51,1146,765,9.59,97647,287517,194.4452979,12.24,551.89,127.64
C098,Campaign_98,Awareness,Facebook,07-07-2025,07-08-2025,South,Business Owners,156542,11771,7.52,3172,1395,11.85,138313,474170,242.823885,11.75,883.55,99.15
C099,Campaign_99,Upsell,Instagram,28-08-2025,12-10-2025,East,Students,44739,1462,3.27,429,279,19.08,116179,398260,242.7986125,79.47,2596.82,416.41
C100,Campaign_100,Acquisition,Email,08-01-2025,31-01-2025,North,Existing Customers,165659,5267,3.18,981,600,11.39,80724,208754,158.6021505,15.33,487.29,134.54
C101,Campaign_101,Acquisition,YouTube,30-08-2025,14-09-2025,North,Professionals,187410,13793,7.36,3048,2043,14.81,70030,190820,172.4832215,5.08,373.67,34.28
C102,Campaign_102,Retention,YouTube,01-03-2025,20-03-2025,East,Existing Customers,36887,2840,7.70,496,259,9.12,37478,68081,81.6559048,13.20,1016.02,144.70
C103,Campaign_103,Awareness,Email,09-07-2025,14-08-2025,West,Existing Customers,219809,13913,6.33,3022,1678,12.06,52507,170538,224.7909803,3.77,238.88,31.29
C104,Campaign_104,Discount,YouTube,28-07-2025,11-09-2025,West,Business Owners,98332,2635,2.68,491,248,9.41,73895,235133,218.1987956,28.04,751.48,297.96
C105,Campaign_105,Upsell,Google,27-11-2025,23-12-2025,East,Business Owners,40872,1916,4.69,295,115,6.00,131201,197022,50.16806274,68.48,3210.05,1140.88
C106,Campaign_106,Upsell,Facebook,20-06-2025,12-07-2025,North,Students,58010,3962,6.83,621,397,10.02,157282,276147,75.5744459,39.70,2711.29,396.18
C107,Campaign_107,Awareness,Facebook,02-11-2025,17-11-2025,East,Professionals,97685,7052,7.22,1029,406,5.76,77707,237529,205.6725906,11.02,795.49,191.40
C108,Campaign_108,Upsell,Google,08-01-2025,03-02-2025,North,Professionals,232089,15874,6.84,3587,1275,8.03,81564,115435,41.52689912,5.14,351.43,63.97
C109,Campaign_109,Retention,YouTube,01-09-2025,30-09-2025,North,Students,228952,10279,4.49,2331,1184,11.52,70077,236854,237.991067,6.82,306.08,59.19
C110,Campaign_110,Upsell,Google,26-11-2025,10-01-2026,East,Existing Customers,33165,938,2.83,193,94,10.02,40301,95859,137.8576214,42.96,1215.17,428.73
C111,Campaign_111,Discount,LinkedIn,08-11-2025,27-11-2025,North,Young Adults,42218,1346,3.19,312,173,12.85,97245,207908,113.7981387,72.25,2303.40,562.11
C112,Campaign_112,Launch,Email,16-09-2025,20-10-2025,East,Existing Customers,137774,4202,3.05,1035,671,15.97,156529,451718,188.584224,37.25,1136.13,233.28
C113,Campaign_113,Retention,Facebook,31-07-2025,25-08-2025,West,Professionals,241902,12070,4.99,2352,901,7.46,123873,246204,98.75517667,10.26,512.08,137.48
C114,Campaign_114,Acquisition,Instagram,04-02-2025,21-02-2025,South,Existing Customers,243044,7218,2.97,1427,871,12.07,109687,338482,208.588985,15.20,451.31,125.93
C115,Campaign_115,Discount,Email,30-07-2025,25-08-2025,East,Students,199415,15315,7.68,3003,2013,13.14,25486,87429,243.0471631,1.66,127.80,12.66
C116,Campaign_116,Acquisition,Email,23-10-2025,23-11-2025,East,Students,80768,2705,3.35,559,361,13.35,103780,327926,215.9818848,38.37,1284.91,287.48
C117,Campaign_117,Discount,Instagram,26-04-2025,05-06-2025,East,Business Owners,137489,9830,7.15,2903,1847,18.79,172844,481361,178.4944806,17.58,1257.15,93.58
C118,Campaign_118,Discount,Email,03-04-2025,26-04-2025,East,Students,209208,13996,6.69,4001,1891,13.51,59554,191388,221.3688417,4.26,284.66,31.49
C119,Campaign_119,Upsell,Email,14-03-2025,21-04-2025,West,Students,190982,14972,7.84,2043,1094,7.31,110617,245971,122.3627471,7.39,579.20,101.11
C120,Campaign_120,Awareness,Instagram,16-06-2025,25-07-2025,East,Young Adults,173791,10045,5.78,2802,1133,11.28,173962,245195,40.94744829,17.32,1000.98,153.54
C121,Campaign_121,Acquisition,Google,06-09-2025,10-10-2025,West,Existing Customers,140879,6734,4.78,1069,565,8.39,102484,230159,124.5804223,15.22,727.46,181.39
C122,Campaign_122,Upsell,Instagram,07-06-2025,23-06-2025,West,Business Owners,82807,3867,4.67,881,310,8.02,91015,307604,237.9706642,23.54,1099.12,293.60
C123,Campaign_123,Acquisition,Facebook,03-03-2025,18-03-2025,East,Young Adults,155386,10271,6.61,1557,752,7.32,72322,173614,140.0569675,7.04,465.43,96.17
C124,Campaign_124,Acquisition,YouTube,22-01-2025,19-02-2025,North,Existing Customers,29912,1504,5.03,201,92,6.12,124534,318991,156.1477187,82.80,4163.35,1353.63
C125,Campaign_125,Upsell,YouTube,28-02-2025,27-03-2025,West,Young Adults,30467,2379,7.81,359,244,10.26,132611,415133,213.0456749,55.74,4352.61,543.49
C126,Campaign_126,Discount,Instagram,05-05-2025,02-06-2025,West,Students,179369,8430,4.70,1130,739,8.77,101001,180535,78.74575499,11.98,563.09,136.67
C127,Campaign_127,Discount,Facebook,19-09-2025,10-10-2025,North,Business Owners,228483,10098,4.42,2533,1612,15.96,50716,92292,81.97807398,5.02,221.97,31.46
C128,Campaign_128,Acquisition,Facebook,05-11-2025,24-11-2025,South,Professionals,224285,14982,6.68,2001,1366,9.12,176613,421585,138.7055313,11.79,787.45,129.29
C129,Campaign_129,Launch,Email,26-11-2025,31-12-2025,West,Business Owners,188714,8076,4.28,2380,1096,13.57,127281,184586,45.02243068,15.76,674.47,116.13
C130,Campaign_130,Upsell,LinkedIn,30-10-2025,15-11-2025,East,Young Adults,117259,6203,5.29,1090,553,8.92,26913,56819,111.1210196,4.34,229.52,48.67
C131,Campaign_131,Discount,Instagram,01-11-2025,02-12-2025,North,Business Owners,125789,6339,5.04,1393,873,13.77,22753,52091,128.9412385,3.59,180.88,26.06
C132,Campaign_132,Upsell,Email,06-11-2025,06-12-2025,South,Young Adults,156430,5209,3.33,683,263,5.05,102030,353151,246.1246692,19.59,652.24,387.95
C133,Campaign_133,Launch,Google,07-05-2025,13-06-2025,South,Students,139755,11110,7.95,2381,1341,12.07,107393,227702,112.0268546,9.67,768.44,80.08
C134,Campaign_134,Retention,Instagram,03-11-2025,19-11-2025,West,Young Adults,231891,13843,5.97,2495,1161,8.39,158266,441947,179.2431729,11.43,682.50,136.32
C135,Campaign_135,Acquisition,Instagram,11-02-2025,16-03-2025,South,Young Adults,198961,6525,3.28,1193,821,12.58,114749,181727,58.36913611,17.59,576.74,139.77
C136,Campaign_136,Discount,YouTube,12-07-2025,16-08-2025,East,Business Owners,232529,10021,4.31,1433,854,8.52,149990,225824,50.55937062,14.97,645.04,175.63
C137,Campaign_137,Retention,YouTube,05-07-2025,29-07-2025,East,Students,72254,5585,7.73,1013,626,11.21,62333,112099,79.83892962,11.16,862.69,99.57
C138,Campaign_138,Awareness,Facebook,21-02-2025,24-03-2025,North,Young Adults,227080,12421,5.47,3141,1678,13.51,100280,323710,222.8061428,8.07,441.61,59.76
C139,Campaign_139,Awareness,Email,25-03-2025,14-04-2025,West,Professionals,242932,15329,6.31,3563,2372,15.47,126733,176934,39.61162444,8.27,521.68,53.43
C140,Campaign_140,Upsell,Instagram,09-11-2025,03-12-2025,South,Existing Customers,222234,14711,6.62,2954,1586,10.78,93125,318889,242.4311409,6.33,419.04,58.72
C141,Campaign_141,Awareness,LinkedIn,14-08-2025,12-09-2025,East,Business Owners,226703,9181,4.05,1732,925,10.08,54482,168739,209.7151353,5.93,240.32,58.90
C142,Campaign_142,Awareness,Email,25-11-2025,25-12-2025,East,Students,122311,6788,5.55,939,606,8.93,44683,86110,92.71311237,6.58,365.32,73.73
C143,Campaign_143,Acquisition,Facebook,17-03-2025,27-04-2025,West,Business Owners,139680,4190,3.00,1189,756,18.04,103641,346890,234.7034475,24.74,741.99,137.09
C144,Campaign_144,Discount,LinkedIn,11-07-2025,02-08-2025,West,Business Owners,126231,10060,7.97,1886,678,6.74,37974,119473,214.6178965,3.77,300.83,56.01
C145,Campaign_145,Acquisition,YouTube,20-01-2025,13-02-2025,South,Professionals,242517,12368,5.10,3334,2052,16.59,134974,308675,128.6921926,10.91,556.55,65.78
C146,Campaign_146,Discount,Google,21-04-2025,01-06-2025,North,Young Adults,64195,3543,5.52,888,474,13.38,41146,123749,200.755845,11.61,640.95,86.81
C147,Campaign_147,Acquisition,Facebook,03-05-2025,31-05-2025,North,Students,192497,13224,6.87,2674,1039,7.86,143027,373704,161.2821355,10.82,743.01,137.66
C148,Campaign_148,Upsell,Google,30-05-2025,27-06-2025,South,Professionals,25410,1494,5.88,243,120,8.03,34443,84442,145.1644746,23.05,1355.49,287.03
C149,Campaign_149,Discount,Instagram,29-08-2025,14-09-2025,North,Existing Customers,191637,8872,4.63,1660,1015,11.44,105610,320499,203.4741028,11.90,551.09,104.05
C150,Campaign_150,Awareness,Instagram,20-06-2025,09-07-2025,North,Business Owners,36622,1626,4.44,294,169,10.39,133798,462647,245.780206,82.29,3653.49,791.70
